Match_ID,Player_Name,Batting_Runs,Batting_Mins,Batting_BF,Batting_4s,Batting_6s,Batting_SR,Batting_Pos,Batting_Dismissal,Batting_Inns,Batting_Performance,Bowlling_Overs,Bowlling_Mdns,Bowlling_Runs,Bowlling_Wkts,Bowlling_Econ,Bowlling_Pos,Bowlling_Inns,Bowlling_Performance,Opposition,Ground,Start_Date
ODI # 4786,Asitha Fernando,DNB,-,-,-,-,-,-,-,1,-,5,0,39,1,7.8,3,2,High,v West Indies,Pallekele,26-Oct-24
ODI # 4784,Asitha Fernando,DNB,-,-,-,-,-,-,-,2,-,7,0,35,3,5,2,1,High,v West Indies,Pallekele,23-Oct-24
ODI # 4783,Asitha Fernando,DNB,-,-,-,-,-,-,-,2,-,4,0,28,0,7,1,1,High,v West Indies,Pallekele,20-Oct-24
ODI # 4754,Asitha Fernando,DNB,-,-,-,-,-,-,-,1,-,5,0,29,1,5.8,1,2,High,v India,Colombo (RPS),7-Aug-24
ODI # 4753,Asitha Fernando,DNB,-,-,-,-,-,-,-,1,-,7,0,31,0,4.42,1,2,High,v India,Colombo (RPS),4-Aug-24
ODI # 4752,Asitha Fernando,DNB,-,-,-,-,-,-,-,1,-,6,1,34,1,5.66,1,2,High,v India,Colombo (RPS),2-Aug-24
ODI # 4729,Asitha Fernando,DNB,-,-,-,-,-,-,-,2,-,9,0,44,2,4.88,3,1,High,v Afghanistan,Pallekele,14-Feb-24
ODI # 4727,Asitha Fernando,DNB,-,-,-,-,-,-,-,1,-,6,0,23,2,3.83,3,2,Low,v Afghanistan,Pallekele,11-Feb-24
ODI # 4490,Asitha Fernando,DNB,-,-,-,-,-,-,-,2,-,10,1,64,1,6.4,4,1,High,v Afghanistan,Pallekele,30-Nov-22
ODI # 4298,Asitha Fernando,0,19,5,0,0,0,11,run out,1,Low,TDNB,-,-,-,-,-,-,-,v England,Bristol,4-Jul-21
ODI # 4297,Asitha Fernando,1,4,1,0,0,100,11,not out,1,High,10,0,54,0,5.4,3,2,High,v England,The Oval,1-Jul-21
ODI # 4278,Asitha Fernando,DNB,-,-,-,-,-,-,-,1,-,8,0,62,0,7.75,2,2,High,v West Indies,North Sound,14-Mar-21
ODI # 3903,Asitha Fernando,DNB,-,-,-,-,-,-,-,1,-,2,0,22,0,11,2,2,High,v Zimbabwe,Hambantota,8-Jul-17
ODI # 4786,Avishka Fernando,34,-,50,4,1,68,2,caught,1,High,-,-,-,-,-,-,-,-,v West Indies,Pallekele,26-Oct-24
ODI # 4784,Avishka Fernando,9,12,12,1,0,75,2,caught,2,High,-,-,-,-,-,-,-,-,v West Indies,Pallekele,23-Oct-24
ODI # 4783,Avishka Fernando,5,7,7,1,0,71.42,2,caught,2,High,-,-,-,-,-,-,-,-,v West Indies,Pallekele,20-Oct-24
ODI # 4754,Avishka Fernando,96,127,102,9,2,94.11,2,lbw,1,High,-,-,-,-,-,-,-,-,v India,Colombo (RPS),7-Aug-24
ODI # 4753,Avishka Fernando,40,72,62,5,0,64.51,2,caught,1,High,-,-,-,-,-,-,-,-,v India,Colombo (RPS),4-Aug-24
ODI # 4752,Avishka Fernando,1,10,7,0,0,14.28,2,caught,1,Low,-,-,-,-,-,-,-,-,v India,Colombo (RPS),2-Aug-24
ODI # 4745,Avishka Fernando,4,21,6,1,0,66.66,2,caught,1,High,-,-,-,-,-,-,-,-,v Bangladesh,Chattogram,18-Mar-24
ODI # 4744,Avishka Fernando,0,2,1,0,0,0,2,caught,2,Low,-,-,-,-,-,-,-,-,v Bangladesh,Chattogram,15-Mar-24
ODI # 4743,Avishka Fernando,33,45,33,5,1,100,2,caught,1,High,-,-,-,-,-,-,-,-,v Bangladesh,Chattogram,13-Mar-24
ODI # 4729,Avishka Fernando,91,96,66,10,5,137.87,2,caught,2,High,-,-,-,-,-,-,-,-,v Afghanistan,Pallekele,14-Feb-24
ODI # 4727,Avishka Fernando,5,43,23,0,0,21.73,2,caught,1,Low,-,-,-,-,-,-,-,-,v Afghanistan,Pallekele,11-Feb-24
ODI # 4725,Avishka Fernando,88,111,88,8,3,100,2,caught,1,High,-,-,-,-,-,-,-,-,v Afghanistan,Pallekele,9-Feb-24
ODI # 4720,Avishka Fernando,0,6,4,0,0,0,2,caught,2,Low,-,-,-,-,-,-,-,-,v Zimbabwe,Colombo (RPS),11-Jan-24
ODI # 4719,Avishka Fernando,4,3,5,1,0,80,1,caught,2,High,-,-,-,-,-,-,-,-,v Zimbabwe,Colombo (RPS),8-Jan-24
ODI # 4718,Avishka Fernando,0,3,5,0,0,0,1,caught,1,Low,-,-,-,-,-,-,-,-,v Zimbabwe,Colombo (RPS),6-Jan-24
